id;username;first_name;last_name;birth_date;age;gender;token;score;image;image_content_type
1;Investment Account navigate;Precious;Renner;2020-07-02;44525;FEMALE;45670;97821;../fake-data/blob/hipster.png;image/png
2;Strategist;Alfonzo;Jacobs;2020-07-02;64121;MALE;58495;17202;../fake-data/blob/hipster.png;image/png
3;distributed Refined;Deion;VonRueden;2020-07-01;96444;FEMALE;7893;20360;../fake-data/blob/hipster.png;image/png
4;open-source experiences;Raegan;Johnston;2020-07-02;35363;FEMALE;954;20932;../fake-data/blob/hipster.png;image/png
5;robust system;Hope;Morar;2020-07-01;88776;FEMALE;87496;78213;../fake-data/blob/hipster.png;image/png
6;tangible Liberia JSON;Louie;Lowe;2020-07-01;89499;MALE;52367;7239;../fake-data/blob/hipster.png;image/png
7;circuit program Tuna;Royal;McLaughlin;2020-07-02;98746;MALE;38514;53018;../fake-data/blob/hipster.png;image/png
8;Developer withdrawal;Carleton;Little;2020-07-01;21332;MALE;22005;84376;../fake-data/blob/hipster.png;image/png
9;Generic;Kevon;Lind;2020-07-02;11100;MALE;57876;7356;../fake-data/blob/hipster.png;image/png
10;synthesizing schemas Industrial;Jeramy;Green;2020-07-01;18216;MALE;80577;31964;../fake-data/blob/hipster.png;image/png
